         2870646 function calls (2775656 primitive calls) in 41.841 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      266    0.000    0.000    0.002    0.000 fromnumeric.py:3130(around)
      240    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
      716    0.000    0.000    0.000    0.000 function_base.py:21(_linspace_dispatcher)
      240    0.000    0.000    0.000    0.000 _minimize.py:787(standardize_bounds)
      220    0.000    0.000    0.001    0.000 __init__.py:418(usesTime)
      221    0.000    0.000    0.000    0.000 iostream.py:309(_is_master_process)
     1180    0.000    0.000    0.000    0.000 numeric.py:1403(<listcomp>)
      220    0.000    0.000    0.000    0.000 __init__.py:117(getLevelName)
      240    0.000    0.000    0.000    0.000 stride_tricks.py:262(<listcomp>)
      220    0.000    0.000    0.000    0.000 threading.py:1225(current_thread)
     1440    0.000    0.000    0.000    0.000 stride_tricks.py:121(<genexpr>)
      872    0.000    0.000    0.000    0.000 type_check.py:207(_is_type_dispatcher)
      240    0.000    0.000    0.000    0.000 linalg.py:209(_assert_stacked_square)
      266    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(around)
      104    0.000    0.000    0.001    0.000 {built-in method _warnings.warn}
      220    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      240    0.000    0.000    0.001    0.000 function_base.py:4209(<listcomp>)
      461    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      872    0.000    0.000    0.000    0.000 _ni_support.py:38(_extend_mode_to_code)
      240    0.000    0.000    0.000    0.000 linalg.py:134(_realType)
      220    0.000    0.000    0.000    0.000 threading.py:1064(name)
      220    0.000    0.000    0.000    0.000 __init__.py:360(getMessage)
      220    0.000    0.000    0.003    0.000 ntpath.py:212(basename)
     1090    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      209    0.000    0.000    0.000    0.000 threading.py:252(_acquire_restore)
      352    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1180    0.000    0.000    0.000    0.000 numeric.py:1336(_moveaxis_dispatcher)
      220    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
      480    0.000    0.000    0.000    0.000 fromnumeric.py:2087(_sum_dispatcher)
      240    0.000    0.000    0.000    0.000 stride_tricks.py:21(__init__)
      480    0.000    0.000    0.000    0.000 stride_tricks.py:266(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
     1550    0.000    0.000    0.000    0.000 copy.py:190(_deepcopy_atomic)
      113    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(trace)
      219    0.000    0.000    0.001    0.000 cp1252.py:18(encode)
      220    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      716    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
      220    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
      220    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
      480    0.000    0.000    0.000    0.000 linalg.py:2312(_norm_dispatcher)
      240    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      333    0.000    0.000    0.000    0.000 fromnumeric.py:1899(_shape_dispatcher)
      720    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      436    0.000    0.000    0.000    0.000 getlimits.py:508(min)
      720    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt.stat}
