         2999959 function calls (2905722 primitive calls) in 44.969 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(asfarray)
      244    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(empty_like)
      360    0.000    0.000    0.000    0.000 threading.py:1064(name)
      244    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(unravel_index)
     1780    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
      436    0.000    0.000    0.000    0.000 _dtype.py:36(_kind_name)
      244    0.000    0.000    0.013    0.000 <__array_function__ internals>:2(broadcast_arrays)
      360    0.000    0.000    0.005    0.000 ntpath.py:212(basename)
      339    0.000    0.000    0.001    0.000 threading.py:252(_acquire_restore)
      244    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(zeros_like)
      109    0.000    0.000    0.001    0.000 overlap.py:176(covariance)
      244    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(argmin)
      732    0.000    0.000    0.000    0.000 function_base.py:2088(<listcomp>)
      244    0.000    0.000    0.001    0.000 linalg.py:116(_makearray)
      436    0.000    0.000    0.000    0.000 colorconv.py:59(guess_spatial_dimensions)
      732    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      360    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
      276    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(round_)
      732    0.000    0.000    0.000    0.000 function_base.py:2078(<listcomp>)
      276    0.000    0.000    0.003    0.000 fromnumeric.py:3590(round_)
      111    0.000    0.000    0.002    0.000 fromnumeric.py:1625(trace)
      360    0.000    0.000    0.000    0.000 threading.py:240(__enter__)
      244    0.000    0.000    0.000    0.000 stride_tricks.py:262(<listcomp>)
      276    0.000    0.000    0.002    0.000 fromnumeric.py:3130(around)
      244    0.000    0.000    0.009    0.000 <__array_function__ internals>:2(inv)
      872    0.000    0.000    0.000    0.000 _ni_support.py:86(_check_axis)
      763    0.000    0.000    0.000    0.000 fromnumeric.py:3227(_mean_dispatcher)
      276    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(around)
      482    0.000    0.000    0.001    0.000 numeric.py:402(count_nonzero)
      605    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      244    0.000    0.000    0.001    0.000 function_base.py:4209(<listcomp>)
      360    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      482    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
      244    0.000    0.000    0.000    0.000 _minimize.py:787(standardize_bounds)
      872    0.000    0.000    0.000    0.000 _ni_support.py:38(_extend_mode_to_code)
     1205    0.000    0.000    0.000    0.000 numeric.py:1403(<listcomp>)
     1464    0.000    0.000    0.000    0.000 stride_tricks.py:121(<genexpr>)
      244    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
      358    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      244    0.000    0.000    0.000    0.000 linalg.py:203(_assert_stacked_2d)
      706    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      720    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      360    0.000    0.000    0.000    0.000 process.py:180(name)
      729    0.000    0.000    0.000    0.000 function_base.py:21(_linspace_dispatcher)
      339    0.000    0.000    0.000    0.000 threading.py:249(_release_save)
      872    0.000    0.000    0.000    0.000 type_check.py:207(_is_type_dispatcher)
      219    0.000    0.000    0.064    0.000 csv.py:154(writerow)
      729    0.000    0.000    0.000    0.000 fromnumeric.py:3033(_ndim_dispatcher)
      360    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     1205    0.000    0.000    0.000    0.000 numeric.py:1336(_moveaxis_dispatcher)
      488    0.000    0.000    0.000    0.000 stride_tricks.py:266(<genexpr>)
      244    0.000    0.000    0.000    0.000 linalg.py:134(_realType)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      244    0.000    0.000    0.000    0.000 linalg.py:209(_assert_stacked_square)
      360    0.000    0.000    0.001    0.000 __init__.py:579(formatMessage)
      488    0.000    0.000    0.000    0.000 fromnumeric.py:2087(_sum_dispatcher)
      732    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      360    0.000    0.000    0.000    0.000 process.py:36(current_process)
      218    0.000    0.000    0.028    0.000 dataclasses.py:1043(asdict)
        1    0.000    0.000   44.969   44.969 {built-in method builtins.exec}
      244    0.000    0.000    0.000    0.000 stride_tricks.py:21(__init__)
      339    0.000    0.000    0.000    0.000 threading.py:255(_is_owned)
      109    0.000    0.000    0.000    0.000 overlap.py:172(mse)
      720    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
      360    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      360    0.000    0.000    0.000    0.000 {built-in method _imp.lock_held}
      111    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(trace)
      436    0.000    0.000    0.000    0.000 getlimits.py:508(min)
      732    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method nt.stat}
